user_id,ring_id,ring_type,is_fraud_ring,component_id,component_size,shared_device_count,shared_ip_count,mule_merchant_exposure,top_linked_users,top_linked_entities,risk_score
u_04641,ring_11,promo_abuse,1,u_05254,7509,1,1,1,"u_04567, u_03108, u_05572, u_02352, u_05315",merchant:m_1172 (32 users); merchant:m_0706 (26 users); merchant:m_1083 (18 users); device:rd_11_00 (9 users); ip:rip_11_01 (8 users),0.999727897214831
u_00968,ring_03,promo_abuse,1,u_05254,7509,2,1,2,"u_07110, u_04828, u_02605, u_07840, u_00015",device:rd_03_00 (13 users); ip:rip_03_01 (8 users); device:d_009422 (2 users); card:c_005993 (2 users),0.9997267984599458
u_05315,ring_11,promo_abuse,1,u_05254,7509,3,2,2,"u_03357, u_07720, u_00668, u_02185, u_05596","merchant:m_0164 (34 users, mule); merchant:m_0470 (31 users); merchant:m_0257 (28 users); merchant:m_0124 (25 users); merchant:m_0724 (23 users)",0.9994964017688913
u_02979,ring_03,promo_abuse,1,u_05254,7509,1,2,1,"u_03757, u_02228, u_02999, u_03056, u_03386",merchant:m_0791 (22 users); merchant:m_0778 (22 users); device:rd_03_00 (13 users); ip:ip_009071 (3 users); card:c_002377 (3 users),0.9994601316285177
u_06313,ring_04,account_farm,1,u_05254,7509,3,1,1,"u_07651, u_07244, u_01340, u_06296, u_01858",merchant:m_0399 (25 users); device:rd_04_00 (16 users); ip:rip_04_01 (7 users); card:rc_04_00 (3 users); card:c_003704 (3 users),0.9994463407979752
u_06140,ring_12,account_farm,1,u_05254,7509,1,1,2,"u_00320, u_04603, u_04421, u_05700, u_04310",merchant:m_0394 (30 users); device:rd_12_01 (12 users); ip:rip_12_02 (6 users); card:c_006769 (2 users); card:c_002853 (2 users),0.9993181918668159
u_00326,ring_03,promo_abuse,1,u_05254,7509,1,1,2,"u_00796, u_05160, u_03662, u_03267, u_03095","merchant:m_0737 (31 users, mule); device:rd_03_00 (13 users); ip:rip_03_00 (6 users); card:c_007038 (4 users)",0.9993039629183316
u_02605,ring_03,promo_abuse,1,u_05254,7509,2,1,1,"u_04994, u_06232, u_07840, u_00968, u_04788",merchant:m_0736 (34 users); merchant:m_0771 (20 users); device:rd_03_00 (13 users); ip:rip_03_01 (8 users); card:c_001025 (4 users),0.9992650478963819
u_03108,ring_11,promo_abuse,1,u_05254,7509,2,1,1,"u_06055, u_05572, u_00106, u_04855, u_04641","merchant:m_0164 (34 users, mule); merchant:m_0987 (21 users); device:rd_11_00 (9 users); ip:rip_11_01 (8 users); card:c_002032 (3 users)",0.9991953636751308
u_02250,ring_12,account_farm,1,u_05254,7509,1,1,1,"u_06830, u_03802, u_07150, u_06965, u_06935",merchant:m_0301 (25 users); merchant:m_0898 (24 users); device:rd_12_00 (12 users); ip:rip_12_01 (8 users); card:c_006896 (5 users),0.9991152080139544
u_04402,ring_00,account_farm,1,u_05254,7509,1,2,1,"u_02968, u_01454, u_00322, u_05876, u_02780",device:rd_00_00 (12 users); ip:rip_00_01 (10 users); card:c_007706 (3 users); ip:ip_010498 (2 users),0.9990805775914644
u_02968,ring_00,account_farm,1,u_05254,7509,1,2,1,"u_01122, u_01454, u_00322, u_05876, u_02780",merchant:m_0144 (31 users); merchant:m_0974 (29 users); device:rd_00_00 (12 users); ip:rip_00_01 (10 users); card:c_005581 (5 users),0.9990445170890063
u_07223,ring_16,account_farm,1,u_05254,7509,2,1,1,"u_04099, u_05788, u_06884, u_07979, u_07841",merchant:m_0817 (23 users); device:rd_16_00 (16 users); device:d_005916 (3 users); card:c_006545 (3 users); ip:rip_16_02 (2 users),0.9983919588843114
u_00668,ring_11,promo_abuse,1,u_05254,7509,1,2,1,"u_05315, u_05681, u_05596, u_07214, u_03397","merchant:m_0164 (34 users, mule); merchant:m_0002 (33 users); merchant:m_0694 (31 users); device:rd_11_00 (9 users); ip:rip_11_00 (8 users)",0.9981620907205183
u_04421,ring_12,account_farm,1,u_05254,7509,1,2,1,"u_06140, u_05700, u_04310, u_07460, u_04541",merchant:m_0267 (35 users); merchant:m_0870 (29 users); merchant:m_0595 (24 users); merchant:m_1083 (18 users); device:rd_12_01 (12 users),0.9980408646878939
u_03166,ring_12,account_farm,1,u_05254,7509,1,2,1,"u_02840, u_03724, u_04163, u_03524, u_00024",merchant:m_0327 (30 users); merchant:m_1198 (23 users); merchant:m_0951 (22 users); device:rd_12_01 (12 users); ip:rip_12_00 (11 users),0.9975667287571952
u_07986,ring_16,account_farm,1,u_05254,7509,3,1,1,"u_01753, u_06683, u_07520, u_07729, u_01908",merchant:m_0595 (24 users); merchant:m_0882 (23 users); merchant:m_1182 (20 users); device:rd_16_00 (16 users); ip:ip_007468 (3 users),0.9972231503480122
u_06866,ring_08,account_farm,1,u_05254,7509,2,1,1,"u_05980, u_01562, u_02948, u_07449, u_05857",merchant:m_0253 (27 users); ip:rip_08_00 (20 users); device:rd_08_00 (7 users); device:d_007228 (4 users); card:c_005216 (2 users),0.997046989203792
